Constituency No.,Constituency Name,Candidate Name,Party Name,VALID VOTES POLLED in General,VALID VOTES POLLED in Postal,Total Valid Votes,Total Votes,Total Electors,margin
1,Gummidipoondi,GOVINDARAJAN T.J,DMK,125001,1451,126452,222069,280790,50938
1,Gummidipoondi,PRAKASH M,PMK,75004,510,75514,222069,280790,50938
1,Gummidipoondi,USHA,NTK,11643,58,11701,222069,280790,50938
1,Gummidipoondi,DILLIY K.M,DMDK,2553,23,2576,222069,280790,50938
1,Gummidipoondi,NOTA,NOTA,1775,8,1783,222069,280790,50938
1,Gummidipoondi,NAGARAJ S,BSP,1031,7,1038,222069,280790,50938
1,Gummidipoondi,SARAVANAN V,Indiya Jananayaka Katchi,813,3,816,222069,280790,50938
1,Gummidipoondi,SARAVANAN E,IND,526,6,532,222069,280790,50938
1,Gummidipoondi,DEVANATHAN R,IND,482,0,482,222069,280790,50938
1,Gummidipoondi,LAKSHMI R,IND,369,5,374,222069,280790,50938
1,Gummidipoondi,PRAKASH K,IND,349,2,351,222069,280790,50938
1,Gummidipoondi,GOWTHAM J,Anaithu Makkal Arasiyal Katchi,254,0,254,222069,280790,50938
1,Gummidipoondi,PRAKASH M,IND,196,0,196,222069,280790,50938
2,Ponneri,DURAI. CHANDRASEKAR,INC,93669,859,94528,210354,267695,9689
2,Ponneri,BALARAMAN. P,AIADMK,84534,305,84839,210354,267695,9689
2,Ponneri,MAHESWARI. A,NTK,18973,54,19027,210354,267695,9689
2,Ponneri,DESINGURAJAN. D,MNM,5372,22,5394,210354,267695,9689
2,Ponneri,PON. RAJA,AMMK,2813,19,2832,210354,267695,9689
2,Ponneri,NOTA,NOTA,1551,3,1554,210354,267695,9689
2,Ponneri,BHAVANI ILAVENIL. J,BSP,1102,4,1106,210354,267695,9689
2,Ponneri,ASHOK PRIYADARSHAN. S,IND,470,0,470,210354,267695,9689
2,Ponneri,SUGUMAR. K,IND,298,0,298,210354,267695,9689
2,Ponneri,VIJAYAKUMAR. V,Anna MGR Dravida Makkal Kalgam,189,1,190,210354,267695,9689
2,Ponneri,SAMBATH KUMAR.C.H,IND,116,0,116,210354,267695,9689
3,Tiruttani,S.Chandran,DMK,118005,2309,120314,232624,290454,29253
3,Tiruttani,G.Hari,AIADMK,89704,1357,91061,232624,290454,29253
3,Tiruttani,L.AKILA,NTK,11900,107,12007,232624,290454,29253
3,Tiruttani,D.Krishnamoorthi,DMDK,3903,25,3928,232624,290454,29253
3,Tiruttani,NOTA,NOTA,1653,12,1665,232624,290454,29253
3,Tiruttani,D.PAULRAJ,IND,886,3,889,232624,290454,29253
3,Tiruttani,V.P.Vijayan,IND,760,8,768,232624,290454,29253
3,Tiruttani,N.MAGENDIRAN,BSP,711,6,717,232624,290454,29253
3,Tiruttani,M.Hari,IND,365,1,366,232624,290454,29253
3,Tiruttani,M.D.Thanigai Malai,Indiya Jananayaka Katchi,352,1,353,232624,290454,29253
3,Tiruttani,A.J.Suresh,IND,174,8,182,232624,290454,29253
3,Tiruttani,Shettu,IND,147,0,147,232624,290454,29253
3,Tiruttani,Manikkam,All India Jananayaka Makkal Kazhagam,121,0,121,232624,290454,29253
3,Tiruttani,Chandran,IND,59,1,60,232624,290454,29253
3,Tiruttani,Chandran,IND,46,0,46,232624,290454,29253
4,Thiruvallur,"RAAJENDRAN, V.G.",DMK,106316,1393,107709,214243,274781,22701
4,Thiruvallur,"RAMANAH, BE VEE",AIADMK,84508,500,85008,214243,274781,22701
4,Thiruvallur,"PASUPATHY, P.",NTK,14943,85,15028,214243,274781,22701
4,Thiruvallur,"DOSS, D.",BSP,2314,15,2329,214243,274781,22701
4,Thiruvallur,NOTA,NOTA,1857,15,1872,214243,274781,22701
4,Thiruvallur,"GURU, N.",AMMK,1072,5,1077,214243,274781,22701
4,Thiruvallur,"RAJENDIRAN, G.",IND,385,3,388,214243,274781,22701
4,Thiruvallur,"REVATHI, R.",IND,281,2,283,214243,274781,22701
4,Thiruvallur,"BALA KRISHNAN, N.",IND,232,0,232,214243,274781,22701
4,Thiruvallur,"KUMAR, E.",IND,132,1,133,214243,274781,22701
4,Thiruvallur,"RAMANAN, R.",IND,97,0,97,214243,274781,22701
4,Thiruvallur,"SASIKUMAR, J.",IND,87,0,87,214243,274781,22701
5,Poonamallee,Krishnaswamy A,DMK,148383,1195,149578,263736,357879,94110
5,Poonamallee,Rajamannar S X,PMK,55249,219,55468,263736,357879,94110
5,Poonamallee,Manimekalai A,NTK,29804,67,29871,263736,357879,94110
5,Poonamallee,Revathi Manimegalai J,MNM,11877,50,11927,263736,357879,94110
5,Poonamallee,Elumalai T.A.,AMMK,8771,34,8805,263736,357879,94110
5,Poonamallee,Sathyamurthy A C,BSP,2880,11,2891,263736,357879,94110
5,Poonamallee,NOTA,NOTA,2849,18,2867,263736,357879,94110
5,Poonamallee,Ravikumar M,IND,448,0,448,263736,357879,94110
5,Poonamallee,Sivakumar S,IND,403,0,403,263736,357879,94110
5,Poonamallee,Velu S,IND,359,0,359,263736,357879,94110
5,Poonamallee,Boshya Gayathri M,My India Party,288,2,290,263736,357879,94110
5,Poonamallee,Rajesh P,IND,241,0,241,263736,357879,94110
5,Poonamallee,Venkatesan J,IND,240,0,240,263736,357879,94110
5,Poonamallee,Purushothaman B,IND,173,2,175,263736,357879,94110
5,Poonamallee,Dhasarathan R,IND,173,0,173,263736,357879,94110
6,Avadi,Nasar S M,DMK,148845,1442,150287,300927,440037,55275
6,Avadi,Pandiarajan K,AIADMK,94331,681,95012,300927,440037,55275
6,Avadi,VIJAYALAKSHMI G,NTK,29953,134,30087,300927,440037,55275
6,Avadi,Udhayakumar V,MNM,16982,110,17092,300927,440037,55275
6,Avadi,NOTA,NOTA,2361,20,2381,300927,440037,55275
6,Avadi,Sankar N M,DMDK,1895,16,1911,300927,440037,55275
6,Avadi,Balasubramanian M,Tamil Nadu Ilangyar Katchi,1251,12,1263,300927,440037,55275
6,Avadi,CHARLES S,BSP,763,10,773,300927,440037,55275
6,Avadi,Pandiarajan G,IND,359,1,360,300927,440037,55275
6,Avadi,Jayakumar P,IND,299,1,300,300927,440037,55275
6,Avadi,Shanavas Khan J,IND,231,0,231,300927,440037,55275
6,Avadi,Nagaraj M,IND,198,0,198,300927,440037,55275
6,Avadi,Dharani K,IND,184,3,187,300927,440037,55275
6,Avadi,Sugumar M,IND,143,0,143,300927,440037,55275
6,Avadi,Banumathi,My India Party,126,1,127,300927,440037,55275
6,Avadi,Raman N,Tamilnadu Makkal Nalvazhvu Periyakkam,120,0,120,300927,440037,55275
6,Avadi,Viswanathan R,MGR Makkal Katchi,108,0,108,300927,440037,55275
6,Avadi,Chandrasekar.A,IND,105,0,105,300927,440037,55275
6,Avadi,Venkatesan M,IND,95,0,95,300927,440037,55275
6,Avadi,Durgaprasad G,IND,73,2,75,300927,440037,55275
6,Avadi,Akilan T.M.,IND,72,0,72,300927,440037,55275
7,Maduravoyal,GANAPATHY.K,DMK,120441,857,121298,273870,448864,31721
7,Maduravoyal,BENJAMIN.P,AIADMK,89313,264,89577,273870,448864,31721
7,Maduravoyal,PADMA PRIYA.S,MNM,33310,91,33401,273870,448864,31721
7,Maduravoyal,GANESHKUMAR.G,NTK,20999,46,21045,273870,448864,31721
7,Maduravoyal,LUCKY MURUGAN.E,AMMK,2648,12,2660,273870,448864,31721
7,Maduravoyal,NOTA,NOTA,2137,9,2146,273870,448864,31721
7,Maduravoyal,SHANMUGAM.K,Tamil Nadu Ilangyar Katchi,906,2,908,273870,448864,31721
7,Maduravoyal,SANTHAKUMAR.Y,BSP,622,6,628,273870,448864,31721
7,Maduravoyal,PRIYA.K,IND,552,1,553,273870,448864,31721
7,Maduravoyal,LAVANYA.P,Nationalist Congress Party,348,1,349,273870,448864,31721
7,Maduravoyal,SELVAKUMAR.V,IND,287,0,287,273870,448864,31721
7,Maduravoyal,MURUGAN.D,IND,161,0,161,273870,448864,31721
7,Maduravoyal,BENJAMIN MOSES.S,IND,149,0,149,273870,448864,31721
7,Maduravoyal,ABARAJITHAN.R,IND,142,1,143,273870,448864,31721
7,Maduravoyal,NEVIS STELLA MARY.B,Anaithu Makkal Arasiyal Katchi,124,0,124,273870,448864,31721
