consti_no,consti_name,votes,percentage,margin,lat,lng
2,Ponneri (SC),84839,40,9689,13.386449675412246,80.24883498005924
3,Tiruttani,91061,39,29253,13.209010441428797,79.55182337548867
4,Thiruvallur,85008,39,22701,13.13796650664903,79.83589242270506
1,Gummidipoondi,75514,34,50938,13.380082362461104,80.0548667763913
5,Poonamallee (SC),55468,21,94110,13.153168196405199,79.98362212027291
9,Madavaram,94414,31,57071,13.205800971038054,80.17807752203817
10,Tiruvottiyur,50524,25,37661,13.193033830147181,80.26768597109331
38,Arakkonam (SC),85399,49,-27169,13.086822046600213,79.66286769342422
40,Katpadi,84394,45,746,13.057980154110874,79.25138427465248
6,Avadi,95012,31,55275,13.12785476338666,80.08487551459258
39,Sholingur,83530,37,26698,13.009056288367072,79.47990221062233
12,Perambur,50291,25,54976,13.140967097803378,80.26337458890964
11,Dr.Radhakrishnan Naga,53284,28,42479,13.135459883416951,80.29401704077603
8,Ambattur,72408,30,42146,13.119574938232853,80.17635903203899
13,Kolathur,35138,20,70384,13.122577272723015,80.23151379862392
45,Kilvaithinankuppam(SC,84579,48,-10582,12.996637694573986,78.96838867357675
17,Royapuram,36645,30,27779,13.11795449975042,80.29427813552667
14,Villivakkam,38890,26,37237,13.10621723818502,80.23092207319262
15,Thiru-Vi-Ka-Nagar(SC),26714,19,55013,13.10614561347935,80.26421899891872
7,Maduravoyal,89577,32,31721,13.073914156862907,80.1606909031445
18,Harbour,32043,31,27274,13.092455040168028,80.29352762326388
21,Anna Nagar,52609,31,27445,13.088129736847913,80.23527313249966
16,Egmore (SC),30064,25,38768,13.086127358990462,80.26734307371544
46,Gudiyattam (SC),93511,44,6901,12.927423766393753,78.73096922117881
22,Virugampakkam,55984,33,18367,13.060927422212808,80.20140139145258
19,Chepauk-Thiruvalliken,23930,17,69355,13.065795030216515,80.28226784125732
20,Thousand Lights,39405,28,32462,13.052420316344575,80.25609762669205
29,Sriperumbudur (SC),104474,39,10879,12.92708249121406,79.94779658144506
24,Thiyagarayanagar,55898,40,137,13.05315547479537,80.2267832215903
28,Alandur,76214,32,40571,13.012743546077838,80.1687024521951
41,Ranipet,86793,41,16498,12.940921213443284,79.32823467464888
25,Mylapore,55759,36,12633,13.03197945738611,80.26917568481933
23,Saidapet,50786,31,29408,13.018677428970216,80.23503375083243
26,Velachery,64141,36,4352,12.99725679101814,80.26113466988701
37,Kancheepuram,91117,39,11595,12.904114233784918,79.70535581958347
