consti_no,consti_name,votes,percentage,margin,margin_disp,lat,lng
2,Ponneri (SC),94528,44,9689,9689,13.379449675412246,80.24183498005924
3,Tiruttani,120314,51,29253,29253,13.202010441428797,79.54482337548866
4,Thiruvallur,107709,50,22701,22701,13.130966506649031,79.82889242270505
1,Gummidipoondi,126452,56,50938,50938,13.373082362461105,80.04786677639129
5,Poonamallee (SC),149578,56,94110,94110,13.146168196405199,79.9766221202729
9,Madavaram,151485,50,57071,57071,13.198800971038054,80.17107752203816
10,Tiruvottiyur,88185,44,37661,37661,13.186033830147181,80.26068597109331
38,Arakkonam (SC),58230,33,-27169,0,13.079822046600214,79.65586769342421
40,Katpadi,85140,45,746,746,13.050980154110874,79.24438427465248
6,Avadi,150287,49,55275,55275,13.12085476338666,80.07787551459258
39,Sholingur,110228,49,26698,26698,13.002056288367072,79.47290221062232
12,Perambur,105267,52,54976,54976,13.133967097803378,80.25637458890964
11,Dr.Radhakrishnan Naga,95763,51,42479,42479,13.128459883416951,80.28701704077602
8,Ambattur,114554,47,42146,42146,13.112574938232854,80.16935903203898
13,Kolathur,105522,60,70384,70384,13.115577272723016,80.22451379862392
45,Kilvaithinankuppam(SC,73997,42,-10582,0,12.989637694573986,78.96138867357675
17,Royapuram,64424,53,27779,27779,13.11095449975042,80.28727813552666
14,Villivakkam,76127,52,37237,37237,13.09921723818502,80.22392207319261
15,Thiru-Vi-Ka-Nagar(SC),81727,61,55013,55013,13.099145613479351,80.25721899891872
7,Maduravoyal,121298,44,31721,31721,13.066914156862907,80.1536909031445
18,Harbour,59317,58,27274,27274,13.085455040168029,80.28652762326388
21,Anna Nagar,80054,48,27445,27445,13.081129736847913,80.22827313249965
16,Egmore (SC),68832,57,38768,38768,13.079127358990462,80.26034307371543
46,Gudiyattam (SC),100412,47,6901,6901,12.920423766393753,78.7239692211788
22,Virugampakkam,74351,43,18367,18367,13.053927422212809,80.19440139145257
19,Chepauk-Thiruvalliken,93285,67,69355,69355,13.058795030216515,80.27526784125732
20,Thousand Lights,71867,52,32462,32462,13.045420316344575,80.24909762669205
29,Sriperumbudur (SC),115353,43,10879,10879,12.92008249121406,79.94079658144506
24,Thiyagarayanagar,56035,40,137,137,13.04615547479537,80.21978322159029
28,Alandur,116785,49,40571,40571,13.005743546077838,80.1617024521951
41,Ranipet,103291,49,16498,16498,12.933921213443284,79.32123467464888
25,Mylapore,68392,44,12633,12633,13.02497945738611,80.26217568481933
23,Saidapet,80194,50,29408,29408,13.011677428970216,80.22803375083242
26,Velachery,68493,38,4352,4352,12.99025679101814,80.25413466988701
37,Kancheepuram,102712,44,11595,11595,12.897114233784919,79.69835581958347
30,Pallavaram,126427,47,37781,37781,12.965108279723381,80.14621702243144
27,Shozhinganallur,171558,44,35405,35405,12.918453000605524,80.21435993406291
43,Vellore,84299,46,9181,9181,12.915851109041483,79.14039110994784
44,Anaikattu,95159,48,6360,6360,12.796099099044227,78.99569381916069
31,Tambaram,116840,46,36824,36824,12.90661199145029,80.11721866169927
55,Hosur,118231,47,12367,12367,12.731048082253267,77.84065495637063
42,Arcot,103885,49,19958,19958,12.775943619252672,79.37863632789913
48,Ambur,90476,50,20232,20232,12.76971915911193,78.7782765448039
32,Chengalpattu,130573,47,26665,26665,12.767892931913337,79.98628247789284
54,Veppanahalli,91050,44,-3054,0,12.655652624419133,78.085849335191
68,Cheyyar,102460,47,12271,12271,12.708884516607213,79.60030158770536
33,Thiruporur,93954,41,1947,1947,12.701907193961858,80.13383287721695
36,Uthiramerur,93427,44,1622,1622,12.68997527548862,79.82578779815636
67,Arani,99833,45,-3128,0,12.652864022356795,79.29417084840213
47,Vaniyambadi,83114,43,-4904,0,12.5990797081121,78.76087215882507
65,Kalasapakkam,94134,47,9222,9222,12.512360916972796,78.97480608804824
56,Thalli,120641,62,56226,56226,12.424617215712004,77.79548819959638
66,Polur,88007,43,-9725,0,12.539323683691094,79.16441063832792
35,Madurantakam (SC),83076,44,-3570,0,12.509993581188866,79.87196059520684
52,Bargur,97256,49,12614,12614,12.45802266756209,78.34405171253901
49,Jolarpet,89490,45,1091,1091,12.56294696143317,78.5592462062682
50,Tiruppattur,96522,51,28240,28240,12.449799635045167,78.55750475754539
53,Krishnagiri,95256,45,-794,0,12.467529522769325,78.15881696538077
69,Vandavasi (SC),102064,54,35953,35953,12.468120916047496,79.57805090012963
62,Chengam (SC),108081,48,11570,11570,12.284203563643615,78.7649089632493
34,Cheyyur (SC),82750,46,4042,4042,12.43748990778306,79.9705646526204
57,Palacodu,81970,39,-28100,0,12.35270755351084,78.05926105804255
51,Uthangarai (SC),71288,37,-28387,0,12.300889583087837,78.47000829186837
70,Vandavasi (SC),109625,52,35803,35803,12.26045908921563,79.33566123184426
64,Kilpennathur,104675,51,26787,26787,12.228311216939176,79.18021720242389
71,Mailam,78814,44,-2230,0,12.231498620215206,79.51775815433498
58,Pennagaram,84937,40,-21186,0,12.116462304291957,77.86442683714928
72,Tindivanam (SC),77399,42,-9753,0,12.206634499732417,79.7938743907553
63,Tiruvannamalai,137876,66,94673,94673,12.170834886221058,79.0418525467735
61,Harur (SC),68699,34,-30362,0,12.025031156013085,78.57455570954122
60,Pappireddippatti,77564,35,-36943,0,12.051507287431406,78.28889228010735
59,Dharmapuri,78770,36,-26860,0,12.043381812470727,78.10698201137171
73,Vanur (SC),70492,38,-21727,0,11.965776549498202,79.61074356549526
75,Vikravandi,93730,48,9573,9573,12.033334986770257,79.47708250919887
76,Tirukkoyilur,110980,56,59680,59680,11.956156947185406,79.26800583526308
78,Rishivandiyam,113912,52,41728,41728,11.917148150616697,79.0828495638128
79,Sankarapuram,121186,56,45963,45963,11.825125741709655,78.83628091626737
84,Omalur,87194,35,-55294,0,11.830805126355557,78.06708506024856
105,Anthiyur,79096,44,1275,1275,11.677826402966161,77.5476840488839
85,Mettur,96399,44,-656,0,11.792479044722171,77.79363195060228
74,Viluppuram,102271,49,14868,14868,11.910635339499379,79.5091647151552
83,Yercaud (ST),95606,40,-25955,0,11.735674036777425,78.3043448709125
77,Ulundurpettai,115451,47,5256,5256,11.74722246499482,79.30283263119081
155,Cuddalore,84563,46,5151,5151,11.794066627373013,79.69870702476229
107,Bhavanisagar,83173,41,-16008,0,11.564919977524994,77.16797753861326
154,Panruti,93801,47,4697,4697,11.80309447128289,79.5531861222793
86,Edappadi,69352,28,-93802,0,11.662170700817228,77.84055867473721
80,Kallakurichi (SC),84752,37,-25891,0,11.654182039719387,78.98749993390986
82,Attur(SC),87051,43,-8257,0,11.623306074116073,78.53479838711836
109,Gudalur (SC),62551,45,-1945,0,11.535389750236845,76.47682440477058
153,Neyveli,75177,45,977,977,11.670319016309605,79.56701720144282
88,Salem (West),83984,38,-21499,0,11.693025804397422,78.06933990204301
156,Kurinjipadi,101456,51,17527,17527,11.6285618614408,79.69246754742065
89,Salem (North),93432,46,7588,7588,11.682687568226754,78.14992322459526
87,Sankari,95427,41,-20045,0,11.559618533418643,77.96685267782675
104,Bhavani,78392,38,-22523,0,11.532192964333888,77.66389345886145
91,Veerapandi,91787,41,-19895,0,11.604004429560831,78.15745174877912
81,Gangavalli (SC),82207,44,-7361,0,11.511227825353927,78.73215987529261
90,Salem (South),74897,37,-22609,0,11.640042769907978,78.1465139199443
108,Udhagamandalam,65530,46,5348,5348,11.403400469106401,76.66692292323526
152,Vriddhachalam,77064,39,862,862,11.546185315949629,79.23431329126856
110,Coonoor,61820,45,4105,4105,11.413185056095529,76.89289750216804
92,Rasipuram (SC),90727,46,1952,1952,11.48985571931604,78.25670897763945
106,Gobichettipalayam,80045,37,-28563,0,11.411290230859521,77.35966082879412
151,Tittakudi (SC),83726,49,21563,21563,11.489002358022447,79.0099734786661
157,Bhuvanagiri,88194,44,-8259,0,11.477719172701711,79.49760138850141
158,Chidambaram,75024,40,-16937,0,11.44624071348818,79.73953763542869
96,Tiruchengodu,81688,44,2862,2862,11.38628148275427,77.91062212012582
147,Perambalur (SC),122090,50,31034,31034,11.289256380477639,78.8323050076549
97,Kumarapalayam,69154,34,-31646,0,11.38603659736114,77.77582103283194
93,Senthamangalam(ST),90681,45,10493,10493,11.256234795249668,78.32306821594551
99,Erode (West),100757,49,22089,22089,11.325905043932693,77.65839577708823
111,Mettuppalayam,102775,45,-2456,0,11.262692432959454,76.88648376334035
159,Kattumannarkoil(SC),86056,49,10565,10565,11.305753245066256,79.58141178980915
103,Perundurai,70618,37,-14507,0,11.26483444450406,77.49663491902976
94,Namakkal,106494,51,27861,27861,11.223591094803226,78.1294525338021
95,Paramathi-Velur,78372,42,-7662,0,11.24050246186917,77.95274038703698
98,Erode (East),67300,44,8904,8904,11.35939367587747,77.72564448537312
146,Thuraiyur (SC),87786,49,22071,22071,11.217354721793043,78.56617862164079
150,Jayankondam,99529,45,5452,5452,11.23584675617289,79.39696532450645
160,Sirkazhi (SC),94057,49,12148,12148,11.271339172514843,79.74376113195275
148,Kunnam,103922,47,6329,6329,11.23229096810374,79.01923801612259
112,Avanashi (SC),66382,31,-50902,0,11.227352797943325,77.17256352505862
113,Tiruppur (North),73282,30,-40102,0,11.215055815873228,77.35492525978574
100,Modakkurichi,77844,42,-281,0,11.168772869572337,77.76080918358034
149,Ariyalur,103975,46,3234,3234,11.077341675428016,79.17349307775052
117,Kavundampalayam,125893,40,-9776,0,11.112562322942892,76.91193582972866
116,Sulur,87036,36,-31932,0,10.986450093846798,77.10283156131331
102,Kangayam,94197,47,7331,7331,11.03608414566682,77.64321420791151
161,Mayiladuthurai,73642,42,2742,2742,11.157070069578111,79.62680661702555
145,Musiri,90624,50,26836,26836,11.061405735086652,78.43829857442728
114,Tiruppur (South),75535,43,4709,4709,11.104783745723324,77.36628705492751
170,Thiruvidaimarudur,95763,48,10680,10680,11.024602319891187,79.47074081803697
115,Palladam,94212,36,-32691,0,10.992643610564244,77.32299615621126
162,Poompuhar,96102,46,3299,3299,11.073081044604578,79.77378195404432
144,Manachanallur,116334,59,59618,59618,10.992748134718681,78.67062527529202
134,Aravakurichi,93369,52,24816,24816,10.862384147960086,77.90333028252573
119,Thondamuthur,82595,35,-41630,0,10.964050080696722,76.75947210339234
118,Coimbatore(North),77453,38,-4001,0,11.027958187320536,76.91087341706215
143,Lalgudi,84914,48,16949,16949,10.968222540637782,78.87303879570571
121,Singanallur,70390,34,-10854,0,11.008244646073592,77.02717672131456
135,Karur,101757,49,12448,12448,10.990927354713705,78.09268983343176
120,Coimbatore(South),42383,27,-10826,0,11.004634849218945,76.97838992383967
171,Kumbakonam,96057,48,21383,21383,10.97845504621344,79.37997097868907
122,Kinathukadavu,100442,43,-1095,0,10.879846572811147,76.92765174715616
172,Papanasam,86567,43,16273,16273,10.867507186807302,79.23736954263677
136,Krishnarayapuram(SC),96540,53,31625,31625,10.760260245813754,78.23398238484421
137,Kulithalai,100829,51,23540,23540,10.816346867214207,78.43520162688988
